model,thr_val,val_pr_auc,val_roc_auc,val_precision,val_f1,val_recall,val_bal_acc,test_pr_auc,test_roc_auc,test_precision,test_f1,test_recall,test_bal_acc
ENS_FULL_SMOTENC_SOFT,0.40700000000000003,0.6988588748479725,0.8607282166604201,0.6293706293706294,0.645933014354067,0.6633906633906634,0.7817894936539005,0.704729416750123,0.8589837911871812,0.5904977375565611,0.6148409893992933,0.6412776412776413,0.7638277723023486
ENS_FULL_SMOTENC_STACK,0.6,0.6972497626556575,0.860476809629352,0.610989010989011,0.6450116009280742,0.683046683046683,0.7859677859677859,0.701006763590581,0.8589915030592996,0.572354211663067,0.6091954022988506,0.6511056511056511,0.7634059328974583
ENS_FULL_SMOTENC_SOFT,0.40700000000000003,0.6988588748479725,0.8607282166604201,0.6293706293706294,0.645933014354067,0.6633906633906634,0.7817894936539005,0.704729416750123,0.8589837911871812,0.5904977375565611,0.6148409893992933,0.6412776412776413,0.7638277723023486
ENS_FULL_SMOTENC_STACK,0.6,0.6972497626556575,0.860476809629352,0.610989010989011,0.6450116009280742,0.683046683046683,0.7859677859677859,0.701006763590581,0.8589915030592996,0.572354211663067,0.6091954022988506,0.6511056511056511,0.7634059328974583
ENS_FULL_SMOTENC_SOFT,0.40700000000000003,0.6988588748479725,0.8607282166604201,0.6293706293706294,0.645933014354067,0.6633906633906634,0.7817894936539005,0.704729416750123,0.8589837911871812,0.5904977375565611,0.6148409893992933,0.6412776412776413,0.7638277723023486
ENS_FULL_SMOTENC_STACK,0.6,0.6972497626556575,0.860476809629352,0.610989010989011,0.6450116009280742,0.683046683046683,0.7859677859677859,0.701006763590581,0.8589915030592996,0.572354211663067,0.6091954022988506,0.6511056511056511,0.7634059328974583
ENS_FULL_SMOTENC_SOFT,0.40700000000000003,0.6988588748479725,0.8607282166604201,0.6293706293706294,0.645933014354067,0.6633906633906634,0.7817894936539005,0.704729416750123,0.8589837911871812,0.5904977375565611,0.6148409893992933,0.6412776412776413,0.7638277723023486
ENS_FULL_SMOTENC_STACK,0.6,0.6972497626556575,0.860476809629352,0.610989010989011,0.6450116009280742,0.683046683046683,0.7859677859677859,0.701006763590581,0.8589915030592996,0.572354211663067,0.6091954022988506,0.6511056511056511,0.7634059328974583
ENS_FULL_SMOTENC_SOFT,0.40700000000000003,0.6988588748479725,0.8607282166604201,0.6293706293706294,0.645933014354067,0.6633906633906634,0.7817894936539005,0.704729416750123,0.8589837911871812,0.5904977375565611,0.6148409893992933,0.6412776412776413,0.7638277723023486
ENS_FULL_SMOTENC_STACK,0.6,0.6972497626556575,0.860476809629352,0.610989010989011,0.6450116009280742,0.683046683046683,0.7859677859677859,0.701006763590581,0.8589915030592996,0.572354211663067,0.6091954022988506,0.6511056511056511,0.7634059328974583
ENS_FULL_SMOTENC_SOFT,0.40700000000000003,0.6988588748479725,0.8607282166604201,0.6293706293706294,0.645933014354067,0.6633906633906634,0.7817894936539005,0.704729416750123,0.8589837911871812,0.5904977375565611,0.6148409893992933,0.6412776412776413,0.7638277723023486
ENS_FULL_SMOTENC_STACK,0.6,0.6972497626556575,0.860476809629352,0.610989010989011,0.6450116009280742,0.683046683046683,0.7859677859677859,0.701006763590581,0.8589915030592996,0.572354211663067,0.6091954022988506,0.6511056511056511,0.7634059328974583
ENS_FULL_SMOTENC_STACK,0.308,0.7013753952350565,0.862559015101388,0.640661938534279,0.653012048192771,0.6658476658476659,0.7852151072490056,0.7091312422680297,0.8612001832340814,0.5944700460829493,0.6135552913198573,0.6339066339066339,0.7617116345929905
ENS_FULL_SMOTENC_SOFT,0.47300000000000003,0.7002532353715107,0.8610922170244204,0.6143497757847534,0.6424384525205158,0.6732186732186732,0.7826231470299267,0.7096893186534421,0.860865487984132,0.5907079646017699,0.6216530849825378,0.6560196560196561,0.7699432868924394
ENS_FULL_SMOTENC_STACK,0.308,0.7013753952350565,0.862559015101388,0.640661938534279,0.653012048192771,0.6658476658476659,0.7852151072490056,0.7091312422680297,0.8612001832340814,0.5944700460829493,0.6135552913198573,0.6339066339066339,0.7617116345929905
ENS_FULL_SMOTENC_SOFT,0.47300000000000003,0.7002532353715107,0.8610922170244204,0.6143497757847534,0.6424384525205158,0.6732186732186732,0.7826231470299267,0.7096893186534421,0.860865487984132,0.5907079646017699,0.6216530849825378,0.6560196560196561,0.7699432868924394
