model,thr_val,thr_oof,thr_used,val_pr_auc,val_roc_auc,val_precision,val_f1,val_recall,val_bal_acc,test_pr_auc,test_roc_auc,test_precision,test_f1,test_recall,test_bal_acc,best_iteration
LGBM_FULL_SMOTENC,0.466,0.525,0.525,0.6813712315799685,0.8566640600538905,0.6512820512820513,0.6373902132998746,0.6240786240786241,0.7693525574881508,0.6979071764213306,0.8616860311775565,0.6584699453551912,0.6235446313065977,0.5921375921375921,0.7568346466651551,53
LGBM_FULL_SMOTENC_TUNED,0.392,0.527,0.527,0.6964347470013181,0.8585935704579772,0.5953389830508474,0.6393629124004551,0.6904176904176904,0.7852590649200819,0.7036617899235316,0.8599477752020125,0.6741573033707865,0.6290956749672346,0.5896805896805897,0.7584310041937161,236
LGBM_FULL_SMOTENC,0.392,0.527,0.527,0.6964347470013181,0.8585935704579772,0.5953389830508474,0.6393629124004551,0.6904176904176904,0.7852590649200819,0.7036617899235316,0.8599477752020125,0.6741573033707865,0.6290956749672346,0.5896805896805897,0.7584310041937161,236
LGBM_FULL_SMOTENC_TUNED,0.392,0.527,0.527,0.6964347470013181,0.8585935704579772,0.5953389830508474,0.6393629124004551,0.6904176904176904,0.7852590649200819,0.7036617899235316,0.8599477752020125,0.6741573033707865,0.6290956749672346,0.5896805896805897,0.7584310041937161,236
LGBM_FULL_SMOTENC,0.398,,0.398,0.680552161666572,0.8539278878261929,0.5982532751091703,0.6335260115606937,0.6732186732186732,0.7788566686871772,0.6784960889260475,0.8504421216285624,0.5732217573221757,0.6192090395480226,0.6732186732186732,0.7725792047825946,325
LGBM_FULL_SMOTENC,0.41200000000000003,,0.41200000000000003,0.6797481756270382,0.8598290123713852,0.6080178173719376,0.6378504672897196,0.6707616707616708,0.780139153020509,0.6786265606821694,0.8458998289506764,0.5875831485587583,0.6177156177156177,0.6511056511056511,0.7671724112402079,95
LGBM_FULL_SMOTENC,0.442,,0.442,0.6774461615493325,0.8570311451667383,0.6320754716981132,0.6450060168471721,0.6584766584766585,0.7802741107825854,0.6806072241949808,0.8531243107514295,0.6096385542168675,0.6155717761557178,0.6216216216216216,0.7599633531836922,115
LGBM_FULL_SMOTENC,0.437,,0.437,0.6873677556787455,0.8569740773130604,0.625,0.6436233611442194,0.6633906633906634,0.7808478740682131,0.6880220178908075,0.8571252300065859,0.5958904109589042,0.6177514792899408,0.6412776412776413,0.7650832650832651,676
LGBM_FULL_SMOTENC,0.437,,0.437,0.6873677556787455,0.8569740773130604,0.625,0.6436233611442194,0.6633906633906634,0.7808478740682131,0.6880220178908075,0.8571252300065859,0.5958904109589042,0.6177514792899408,0.6412776412776413,0.7650832650832651,676
LGBM_FULL_SMOTENC,0.437,,0.437,0.6873677556787455,0.8569740773130604,0.625,0.6436233611442194,0.6633906633906634,0.7808478740682131,0.6880220178908075,0.8571252300065859,0.5958904109589042,0.6177514792899408,0.6412776412776413,0.7650832650832651,676
LGBM_FULL_SMOTENC,0.437,,0.437,0.6873677556787455,0.8569740773130604,0.625,0.6436233611442194,0.6633906633906634,0.7808478740682131,0.6880220178908075,0.8571252300065859,0.5958904109589042,0.6177514792899408,0.6412776412776413,0.7650832650832651,676
LGBM_FULL_SMOTENC,0.437,,0.437,0.6873677556787455,0.8569740773130604,0.625,0.6436233611442194,0.6633906633906634,0.7808478740682131,0.6880220178908075,0.8571252300065859,0.5958904109589042,0.6177514792899408,0.6412776412776413,0.7650832650832651,676
LGBM_FULL_SMOTENC,0.437,,0.437,0.6873677556787455,0.8569740773130604,0.625,0.6436233611442194,0.6633906633906634,0.7808478740682131,0.6880220178908075,0.8571252300065859,0.5958904109589042,0.6177514792899408,0.6412776412776413,0.7650832650832651,676
LGBM_FULL_SMOTENC,0.437,,0.437,0.6873677556787455,0.8569740773130604,0.625,0.6436233611442194,0.6633906633906634,0.7808478740682131,0.6880220178908075,0.8571252300065859,0.5958904109589042,0.6177514792899408,0.6412776412776413,0.7650832650832651,676
LGBM_FULL_SMOTENC,0.401,,0.401,0.693995113206242,0.8592783847021135,0.634032634032634,0.6507177033492823,0.6683046683046683,0.7848742425013611,0.7069820363773875,0.860614080953064,0.5875831485587583,0.6177156177156177,0.6511056511056511,0.7671724112402079,581
LGBM_FULL_SMOTENC,0.389,,0.389,0.6992533795477553,0.8614716411326581,0.6365740740740741,0.6555423122765197,0.6756756756756757,0.7885597461868648,0.702305616763179,0.8589035877171473,0.5878378378378378,0.6133960047003525,0.6412776412776413,0.7632000259118903,1023
LGBM_FULL_SMOTENC,0.389,,0.389,0.6992533795477553,0.8614716411326581,0.6365740740740741,0.6555423122765197,0.6756756756756757,0.7885597461868648,0.702305616763179,0.8589035877171473,0.5878378378378378,0.6133960047003525,0.6412776412776413,0.7632000259118903,1023
LGBM_FULL_SMOTENC,0.389,,0.389,0.6992533795477553,0.8614716411326581,0.6365740740740741,0.6555423122765197,0.6756756756756757,0.7885597461868648,0.702305616763179,0.8589035877171473,0.5878378378378378,0.6133960047003525,0.6412776412776413,0.7632000259118903,1023
LGBM_FULL_SMOTENC,0.389,,0.389,0.6992533795477553,0.8614716411326581,0.6365740740740741,0.6555423122765197,0.6756756756756757,0.7885597461868648,0.702305616763179,0.8589035877171473,0.5878378378378378,0.6133960047003525,0.6412776412776413,0.7632000259118903,1023
LGBM_FULL_SMOTENC,0.389,,0.389,0.6992533795477553,0.8614716411326581,0.6365740740740741,0.6555423122765197,0.6756756756756757,0.7885597461868648,0.702305616763179,0.8589035877171473,0.5878378378378378,0.6133960047003525,0.6412776412776413,0.7632000259118903,1023
