feature,imp_mean,kept
NumOfProducts_1,0.3194099079064864,True
num__Age,0.25938917931476346,True
NumOfProducts_0,0.1438163881697014,True
IsActiveMember_1,0.10550536970820668,True
num__Balance,0.03931306226203242,True
Geography_1,0.026437285112773472,True
Gender_1,0.0093797440678539,True
num__EstimatedSalary,0.003697263355363948,True
Geography_2,0.0024792492598288375,True
NumOfProducts_3,0.0022578238585633193,True
Geography_0,0.0015879227395575093,True
NumOfProducts_2,0.0015250618479244016,True
HasCrCard_1,3.686403178333902e-05,True
num__CreditScore,-3.3200857521266215e-05,False
num__Tenure,-0.0011874226294691435,False
